Job,Year,Amount,Major
Information,2018,47219,Psychology
"Finance & Insurance, and Real Estate, Rental & Leasing",2018,172505,Psychology
"Professional, Scientific & Management, and Administrative & Waste Management Services",2018,266585,Psychology
"Educational Services, Health Care & Social Assistance",2018,1217255,Psychology
"Arts, Entertainment & Recreation and Accommodation & Food Services",2018,112107,Psychology
"Other Services, Except Public Administration",2018,92143,Psychology
Public Administration,2018,173533,Psychology
Active Duty Military,2018,11052,Psychology
"Agriculture, Forestry, Fishing and Hunting, and Mining",2017,7025,Psychology
Construction,2017,26259,Psychology
Manufacturing,2017,82098,Psychology
Wholesale Trade,2017,37661,Psychology
Retail Trade,2017,131506,Psychology
"Transportation & Warehousing, and Utilities",2017,44859,Psychology
Information,2017,45821,Psychology
"Finance & Insurance, and Real Estate, Rental & Leasing",2017,168004,Psychology
"Professional, Scientific & Management, and Administrative & Waste Management Services",2017,251491,Psychology
"Educational Services, Health Care & Social Assistance",2017,1169058,Psychology
"Arts, Entertainment & Recreation and Accommodation & Food Services",2017,106633,Psychology
"Other Services, Except Public Administration",2017,87460,Psychology
Public Administration,2017,168909,Psychology
Active Duty Military,2017,10222,Psychology
"Agriculture, Forestry, Fishing and Hunting, and Mining",2016,6741,Psychology
Construction,2016,25070,Psychology
Manufacturing,2016,79670,Psychology
Wholesale Trade,2016,36917,Psychology
Retail Trade,2016,126712,Psychology
"Transportation & Warehousing, and Utilities",2016,42813,Psychology
Information,2016,43778,Psychology
"Finance & Insurance, and Real Estate, Rental & Leasing",2016,164873,Psychology
"Professional, Scientific & Management, and Administrative & Waste Management Services",2016,233070,Psychology
"Educational Services, Health Care & Social Assistance",2016,1127811,Psychology
"Arts, Entertainment & Recreation and Accommodation & Food Services",2016,102436,Psychology
"Other Services, Except Public Administration",2016,83078,Psychology
Public Administration,2016,162244,Psychology
Active Duty Military,2016,9314,Psychology
"Agriculture, Forestry, Fishing and Hunting, and Mining",2015,7069,Psychology
Construction,2015,22268,Psychology
Manufacturing,2015,76900,Psychology
Wholesale Trade,2015,36109,Psychology
Retail Trade,2015,122875,Psychology
"Transportation & Warehousing, and Utilities",2015,40049,Psychology
Information,2015,42919,Psychology
"Finance & Insurance, and Real Estate, Rental & Leasing",2015,159105,Psychology
"Professional, Scientific & Management, and Administrative & Waste Management Services",2015,221223,Psychology
"Educational Services, Health Care & Social Assistance",2015,1090505,Psychology
"Arts, Entertainment & Recreation and Accommodation & Food Services",2015,98544,Psychology
"Other Services, Except Public Administration",2015,81696,Psychology
Public Administration,2015,160655,Psychology
Active Duty Military,2015,8797,Psychology
"Agriculture, Forestry, Fishing and Hunting, and Mining",2014,6565,Psychology
Construction,2014,21611,Psychology
Manufacturing,2014,74779,Psychology
Wholesale Trade,2014,35103,Psychology
Retail Trade,2014,119708,Psychology
"Transportation & Warehousing, and Utilities",2014,37698,Psychology
Information,2014,43697,Psychology
"Finance & Insurance, and Real Estate, Rental & Leasing",2014,153752,Psychology
"Professional, Scientific & Management, and Administrative & Waste Management Services",2014,209571,Psychology
"Educational Services, Health Care & Social Assistance",2014,1060774,Psychology
"Arts, Entertainment & Recreation and Accommodation & Food Services",2014,92055,Psychology
"Other Services, Except Public Administration",2014,79234,Psychology
Public Administration,2014,160816,Psychology
Active Duty Military,2014,8385,Psychology
